Height/km,Air Density/ kg/km^3
211.5,1.762403E-01
212,1.735644E-01
212.5,1.709370E-01
213,1.683572E-01
213.5,1.658240E-01
214,1.633364E-01
214.5,1.608933E-01
215,1.584938E-01
215.5,1.561370E-01
216,1.538221E-01
216.5,1.515481E-01
217,1.493141E-01
217.5,1.471195E-01
218,1.449631E-01
218.5,1.428445E-01
219,1.407627E-01
219.5,1.387170E-01
220,1.367066E-01
220.5,1.347309E-01
221,1.327890E-01
221.5,1.308805E-01
222,1.290045E-01
222.5,1.271604E-01
223,1.253476E-01
223.5,1.235654E-01
224,1.218133E-01
224.5,1.200906E-01
225,1.183968E-01
225.5,1.167312E-01
226,1.150934E-01
226.5,1.134828E-01
227,1.118988E-01
227.5,1.103410E-01
228,1.088087E-01
228.5,1.073017E-01
229,1.058192E-01
229.5,1.043610E-01
230,1.029264E-01
230.5,1.015151E-01
231,1.001266E-01
231.5,9.876056E-02
232,9.741642E-02
232.5,9.609384E-02
233,9.479238E-02
233.5,9.351169E-02
234,9.225132E-02
234.5,9.101093E-02
235,8.979019E-02
235.5,8.858865E-02
236,8.740601E-02
236.5,8.624192E-02
237,8.509599E-02
237.5,8.396796E-02
238,8.285748E-02
238.5,8.176420E-02
239,8.068782E-02
239.5,7.962807E-02
240,7.858459E-02
240.5,7.755713E-02
241,7.654542E-02
241.5,7.554912E-02
242,7.456800E-02
242.5,7.360178E-02
243,7.265019E-02
243.5,7.171298E-02
244,7.078988E-02
244.5,6.988067E-02
245,6.898507E-02
245.5,6.810288E-02
246,6.723383E-02
246.5,6.637773E-02
247,6.553431E-02
247.5,6.470339E-02
248,6.388474E-02
248.5,6.307817E-02
249,6.228343E-02
249.5,6.150033E-02
250,6.072870E-02
250.5,5.996833E-02
251,5.921902E-02
251.5,5.848057E-02
252,5.775286E-02
252.5,5.703563E-02
253,5.632874E-02
253.5,5.563204E-02
254,5.494530E-02
254.5,5.426843E-02
255,5.360120E-02
255.5,5.294349E-02
256,5.229511E-02
256.5,5.165591E-02
257,5.102579E-02
257.5,5.040454E-02
258,4.979206E-02
258.5,4.918818E-02
259,4.859276E-02
259.5,4.800569E-02
260,4.742680E-02
260.5,4.685597E-02
261,4.629307E-02
261.5,4.573799E-02
262,4.519057E-02
262.5,4.465072E-02
263,4.411830E-02
263.5,4.359320E-02
264,4.307528E-02
264.5,4.256448E-02
265,4.206064E-02
265.5,4.156366E-02
266,4.107345E-02
266.5,4.058988E-02
267,4.011287E-02
267.5,3.964229E-02
268,3.917805E-02
268.5,3.872007E-02
269,3.826824E-02
269.5,3.782244E-02
270,3.738263E-02
270.5,3.694868E-02
271,3.652050E-02
271.5,3.609801E-02
272,3.568111E-02
272.5,3.526975E-02
273,3.486381E-02
273.5,3.446322E-02
274,3.406789E-02
274.5,3.367777E-02
275,3.329274E-02
275.5,3.291276E-02
276,3.253773E-02
276.5,3.216759E-02
277,3.180226E-02
277.5,3.144165E-02
278,3.108573E-02
278.5,3.073440E-02
279,3.038761E-02
279.5,3.004526E-02
280,2.970733E-02
280.5,2.937373E-02
281,2.904440E-02
281.5,2.871927E-02
282,2.839828E-02
282.5,2.808138E-02
283,2.776850E-02
283.5,2.745960E-02
284,2.715459E-02
284.5,2.685344E-02
285,2.655609E-02
285.5,2.626248E-02
286,2.597255E-02
286.5,2.568627E-02
287,2.540355E-02
287.5,2.512438E-02
288,2.484868E-02
288.5,2.457641E-02
289,2.430753E-02
289.5,2.404198E-02
290,2.377971E-02
290.5,2.352069E-02
291,2.326486E-02
291.5,2.301218E-02
292,2.276261E-02
292.5,2.251609E-02
293,2.227260E-02
293.5,2.203208E-02
294,2.179450E-02
294.5,2.155981E-02
295,2.132798E-02
295.5,2.109896E-02
296,2.087272E-02
296.5,2.064921E-02
297,2.042841E-02
297.5,2.021026E-02
298,1.999475E-02
298.5,1.978181E-02
299,1.957144E-02
299.5,1.936359E-02
300,1.915821E-02
300.5,1.895530E-02
301,1.875480E-02
301.5,1.855668E-02
302,1.836092E-02
302.5,1.816748E-02
303,1.797633E-02
303.5,1.778744E-02
304,1.760078E-02
304.5,1.741632E-02
305,1.723402E-02
305.5,1.705386E-02
306,1.687583E-02
306.5,1.669987E-02
307,1.652597E-02
307.5,1.635409E-02
308,1.618423E-02
308.5,1.601634E-02
309,1.585040E-02
309.5,1.568637E-02
310,1.552425E-02
310.5,1.536401E-02
311,1.520562E-02
311.5,1.504904E-02
312,1.489427E-02
312.5,1.474128E-02
313,1.459004E-02
313.5,1.444054E-02
314,1.429275E-02
314.5,1.414664E-02
315,1.400219E-02
315.5,1.385940E-02
316,1.371823E-02
316.5,1.357865E-02
317,1.344067E-02
317.5,1.330424E-02
318,1.316935E-02
318.5,1.303599E-02
319,1.290413E-02
319.5,1.277375E-02
320,1.264484E-02
320.5,1.251737E-02
321,1.239133E-02
321.5,1.226671E-02
322,1.214347E-02
322.5,1.202161E-02
323,1.190110E-02
323.5,1.178194E-02
324,1.166410E-02
324.5,1.154756E-02
325,1.143232E-02
325.5,1.131835E-02
326,1.120564E-02
326.5,1.109418E-02
327,1.098394E-02
327.5,1.087492E-02
328,1.076709E-02
328.5,1.066044E-02
329,1.055497E-02
329.5,1.045064E-02
330,1.034746E-02
330.5,1.024540E-02
331,1.014446E-02
331.5,1.004461E-02
332,9.945849E-03
332.5,9.848157E-03
333,9.751526E-03
333.5,9.655941E-03
334,9.561392E-03
334.5,9.467859E-03
335,9.375336E-03
335.5,9.283810E-03
336,9.193270E-03
336.5,9.103702E-03
337,9.015090E-03
337.5,8.927430E-03
338,8.840709E-03
338.5,8.754913E-03
339,8.670033E-03
339.5,8.586058E-03
340,8.502977E-03
340.5,8.420778E-03
341,8.339452E-03
341.5,8.258991E-03
342,8.179380E-03
342.5,8.100610E-03
343,8.022677E-03
343.5,7.945563E-03
344,7.869263E-03
344.5,7.793768E-03
345,7.719065E-03
345.5,7.645141E-03
346,7.571999E-03
346.5,7.499625E-03
347,7.428004E-03
347.5,7.357133E-03
348,7.287003E-03
348.5,7.217603E-03
349,7.148927E-03
349.5,7.080963E-03
350,7.013707E-03
350.5,6.947150E-03
351,6.881281E-03
351.5,6.816094E-03
352,6.751584E-03
352.5,6.687739E-03
353,6.624552E-03
353.5,6.562017E-03
354,6.500124E-03
354.5,6.438872E-03
355,6.378245E-03
355.5,6.318243E-03
356,6.258854E-03
356.5,6.200073E-03
357,6.141895E-03
357.5,6.084310E-03
358,6.027312E-03
358.5,5.970896E-03
359,5.915056E-03
359.5,5.859783E-03
360,5.805073E-03
360.5,5.750915E-03
361,5.697307E-03
361.5,5.644245E-03
362,5.591716E-03
362.5,5.539721E-03
363,5.488248E-03
363.5,5.437297E-03
364,5.386858E-03
364.5,5.336925E-03
365,5.287497E-03
365.5,5.238564E-03
366,5.190123E-03
366.5,5.142168E-03
367,5.094691E-03
367.5,5.047688E-03
368,5.001157E-03
368.5,4.955091E-03
369,4.909482E-03
369.5,4.864330E-03
370,4.819625E-03
370.5,4.775366E-03
371,4.731547E-03
371.5,4.688162E-03
372,4.645207E-03
372.5,4.602678E-03
373,4.560568E-03
373.5,4.518876E-03
374,4.477596E-03
374.5,4.436723E-03
375,4.396252E-03
375.5,4.356179E-03
376,4.316502E-03
376.5,4.277214E-03
377,4.238312E-03
377.5,4.199791E-03
378,4.161648E-03
378.5,4.123878E-03
379,4.086479E-03
379.5,4.049443E-03
